Time,gENROE.delta,gENROE.PELEC,eXAC1_1.EFD,gENROE.SPEED,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0506,0.60045785,0.40000004,1.4314197,-2.6009264e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0508,0.60045785,0.40000004,1.4314197,-2.6111655e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.051,0.60045785,0.40000004,1.4314197,-2.621404e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0512,0.60045785,0.40000004,1.4314197,-2.631642e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0514,0.60045785,0.40000004,1.4314197,-2.64188e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0516,0.60045785,0.40000004,1.4314197,-2.6521174e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0518,0.60045785,0.40000004,1.4314197,-2.6623548e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.052,0.60045785,0.40000004,1.4314197,-2.6725916e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0522,0.60045785,0.40000004,1.4314197,-2.6828278e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0524,0.60045785,0.40000004,1.4314197,-2.693064e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0526,0.60045785,0.40000004,1.4314197,-2.703286e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0528,0.60045785,0.40000004,1.4314197,-2.7135047e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.053,0.60045785,0.40000004,1.4314197,-2.723723e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0532,0.60045785,0.40000004,1.4314197,-2.7339406e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0534,0.60045785,0.40000004,1.4314197,-2.7441574e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0536,0.60045785,0.40000004,1.4314197,-2.754374e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0538,0.60045785,0.40000004,1.4314197,-2.7645897e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.054,0.60045785,0.40000004,1.4314197,-2.7748048e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0542,0.60045785,0.40000004,1.4314197,-2.7850197e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0544,0.60045785,0.40000004,1.4314197,-2.7952335e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0546,0.60045785,0.40000004,1.4314197,-2.805447e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0548,0.60045785,0.40000004,1.4314197,-2.81566e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.055,0.60045785,0.40000004,1.4314197,-2.8258723e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0552,0.60045785,0.40000004,1.4314197,-2.836084e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0554,0.60045785,0.40000004,1.4314197,-2.846295e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0556,0.60045785,0.40000004,1.4314197,-2.8565053e-10,0.99999994,0.9919935,0.99999994,0.99598414
